Title,Work Item Type,Description
A4046 - CE-1-AI113: link is not meaningful within the context,Issue,<div>*Component*: Eyebrow</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI113""">AI113<a></div><div></div><div> *Description*: link is not meaningful within the context</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: low</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-2-AI116: empty link,Issue,<div>*Component*: Main menu</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI116""">AI116<a></div><div></div><div> *Description*: empty link</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-2-AI118: link is not meaningful within the context,Issue,<div>*Component*: Main menu</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI118""">AI118<a></div><div></div><div> *Description*: link is not meaningful within the context</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: low</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-2-AI209: duplicate values of type ID,Issue,<div>*Component*: Main menu</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI209""">AI209<a></div><div></div><div> *Description*: duplicate values of type ID</div><div></div><div> *WCAG Success Criterion*: 4.1.1</div><div></div><div> *Element*: svg</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-2-AI210: duplicate values of type ID,Issue,<div>*Component*: Main menu</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI210""">AI210<a></div><div></div><div> *Description*: duplicate values of type ID</div><div></div><div> *WCAG Success Criterion*: 4.1.1</div><div></div><div> *Element*: ul</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI0: form control is not associated with a text label,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI0""">AI0<a></div><div></div><div> *Description*: form control is not associated with a text label</div><div></div><div> *WCAG Success Criterion*: 1.1.1</div><div></div><div> *Element*: select</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI31: an input with placeholder but without any associated label,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI31""">AI31<a></div><div></div><div> *Description*: an input with placeholder but without any associated label</div><div></div><div> *WCAG Success Criterion*: 1.3.1</div><div></div><div> *Element*: input</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI32: an input with placeholder but without any associated label,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI32""">AI32<a></div><div></div><div> *Description*: an input with placeholder but without any associated label</div><div></div><div> *WCAG Success Criterion*: 1.3.1</div><div></div><div> *Element*: input</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI33: an input with placeholder but without any associated label,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI33""">AI33<a></div><div></div><div> *Description*: an input with placeholder but without any associated label</div><div></div><div> *WCAG Success Criterion*: 1.3.1</div><div></div><div> *Element*: input</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI34: an input does not have associated label,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI34""">AI34<a></div><div></div><div> *Description*: an input does not have associated label</div><div></div><div> *WCAG Success Criterion*: 1.3.1</div><div></div><div> *Element*: select</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI35: an input with placeholder but without any associated label,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI35""">AI35<a></div><div></div><div> *Description*: an input with placeholder but without any associated label</div><div></div><div> *WCAG Success Criterion*: 1.3.1</div><div></div><div> *Element*: input</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI87: not enough contrast between text and its background,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI87""">AI87<a></div><div></div><div> *Description*: not enough contrast between text and its background</div><div></div><div> *WCAG Success Criterion*: 1.4.3</div><div></div><div> *Element*: button</div><div></div><div> *Severity*: medium</div><div></div><div> *Complexity*: average</div>
A4046 - CE-4-AI206: labels or instructions are not provided when content requires user input,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI206""">AI206<a></div><div></div><div> *Description*: labels or instructions are not provided when content requires user input</div><div></div><div> *WCAG Success Criterion*: 3.3.2</div><div></div><div> *Element*: select</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-4-AI214: user interface control missing a programmatically determined name,Issue,<div>*Component*: Offers bar</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI214""">AI214<a></div><div></div><div> *Description*: user interface control missing a programmatically determined name</div><div></div><div> *WCAG Success Criterion*: 4.1.2</div><div></div><div> *Element*: select</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI21: linked image with empty alternative text,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI21""">AI21<a></div><div></div><div> *Description*: linked image with empty alternative text</div><div></div><div> *WCAG Success Criterion*: 1.1.1</div><div></div><div> *Element*: img</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI22: linked image with empty alternative text,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI22""">AI22<a></div><div></div><div> *Description*: linked image with empty alternative text</div><div></div><div> *WCAG Success Criterion*: 1.1.1</div><div></div><div> *Element*: img</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI23: linked image with empty alternative text,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI23""">AI23<a></div><div></div><div> *Description*: linked image with empty alternative text</div><div></div><div> *WCAG Success Criterion*: 1.1.1</div><div></div><div> *Element*: img</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI24: linked image with empty alternative text,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI24""">AI24<a></div><div></div><div> *Description*: linked image with empty alternative text</div><div></div><div> *WCAG Success Criterion*: 1.1.1</div><div></div><div> *Element*: img</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI25: linked image with empty alternative text,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI25""">AI25<a></div><div></div><div> *Description*: linked image with empty alternative text</div><div></div><div> *WCAG Success Criterion*: 1.1.1</div><div></div><div> *Element*: img</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI146: empty link with image is without text alternative,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI146""">AI146<a></div><div></div><div> *Description*: empty link with image is without text alternative</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI147: empty link with image is without text alternative,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI147""">AI147<a></div><div></div><div> *Description*: empty link with image is without text alternative</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI148: empty link with image is without text alternative,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI148""">AI148<a></div><div></div><div> *Description*: empty link with image is without text alternative</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI149: empty link with image is without text alternative,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI149""">AI149<a></div><div></div><div> *Description*: empty link with image is without text alternative</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI150: empty link with image is without text alternative,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI150""">AI150<a></div><div></div><div> *Description*: empty link with image is without text alternative</div><div></div><div> *WCAG Success Criterion*: 2.4.4</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI215: name of link with image can not be programmatically determined,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI215""">AI215<a></div><div></div><div> *Description*: name of link with image can not be programmatically determined</div><div></div><div> *WCAG Success Criterion*: 4.1.2</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI216: name of link with image can not be programmatically determined,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI216""">AI216<a></div><div></div><div> *Description*: name of link with image can not be programmatically determined</div><div></div><div> *WCAG Success Criterion*: 4.1.2</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
A4046 - CE-5-AI217: name of link with image can not be programmatically determined,Issue,<div>*Component*: Footer</div><div></div><div> *Issue link*: <a href="""http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI217""">AI217<a></div><div></div><div> *Description*: name of link with image can not be programmatically determined</div><div></div><div> *WCAG Success Criterion*: 4.1.2</div><div></div><div> *Element*: a</div><div></div><div> *Severity*: high</div><div></div><div> *Complexity*: easy</div>
