Issue Type,Summary,Severity,Description,"\""User Journey\"""
Bug,A4046 - CE-1-AI113: link is not meaningful within the context,low,*Component*: Eyebrow\\ *Issue link*: [AI113|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI113]\\ *Description*: link is not meaningful within the context\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: low\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-2-AI116: empty link,high,*Component*: Main menu\\ *Issue link*: [AI116|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI116]\\ *Description*: empty link\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-2-AI118: link is not meaningful within the context,low,*Component*: Main menu\\ *Issue link*: [AI118|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI118]\\ *Description*: link is not meaningful within the context\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: low\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-2-AI209: duplicate values of type ID,medium,*Component*: Main menu\\ *Issue link*: [AI209|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI209]\\ *Description*: duplicate values of type ID\\ *WCAG Success Criterion*: 4.1.1\\ *Element*: svg\\ *Severity*: medium\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-2-AI210: duplicate values of type ID,medium,*Component*: Main menu\\ *Issue link*: [AI210|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI210]\\ *Description*: duplicate values of type ID\\ *WCAG Success Criterion*: 4.1.1\\ *Element*: ul\\ *Severity*: medium\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI0: form control is not associated with a text label,high,*Component*: Offers bar\\ *Issue link*: [AI0|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI0]\\ *Description*: form control is not associated with a text label\\ *WCAG Success Criterion*: 1.1.1\\ *Element*: select\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI31: an input with placeholder but without any associated label,medium,*Component*: Offers bar\\ *Issue link*: [AI31|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI31]\\ *Description*: an input with placeholder but without any associated label\\ *WCAG Success Criterion*: 1.3.1\\ *Element*: input\\ *Severity*: medium\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI32: an input with placeholder but without any associated label,medium,*Component*: Offers bar\\ *Issue link*: [AI32|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI32]\\ *Description*: an input with placeholder but without any associated label\\ *WCAG Success Criterion*: 1.3.1\\ *Element*: input\\ *Severity*: medium\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI33: an input with placeholder but without any associated label,medium,*Component*: Offers bar\\ *Issue link*: [AI33|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI33]\\ *Description*: an input with placeholder but without any associated label\\ *WCAG Success Criterion*: 1.3.1\\ *Element*: input\\ *Severity*: medium\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI34: an input does not have associated label,high,*Component*: Offers bar\\ *Issue link*: [AI34|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI34]\\ *Description*: an input does not have associated label\\ *WCAG Success Criterion*: 1.3.1\\ *Element*: select\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI35: an input with placeholder but without any associated label,medium,*Component*: Offers bar\\ *Issue link*: [AI35|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI35]\\ *Description*: an input with placeholder but without any associated label\\ *WCAG Success Criterion*: 1.3.1\\ *Element*: input\\ *Severity*: medium\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI87: not enough contrast between text and its background,medium,*Component*: Offers bar\\ *Issue link*: [AI87|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI87]\\ *Description*: not enough contrast between text and its background\\ *WCAG Success Criterion*: 1.4.3\\ *Element*: button\\ *Severity*: medium\\ *Complexity*: average,Common Elements
Bug,A4046 - CE-4-AI206: labels or instructions are not provided when content requires user input,high,*Component*: Offers bar\\ *Issue link*: [AI206|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI206]\\ *Description*: labels or instructions are not provided when content requires user input\\ *WCAG Success Criterion*: 3.3.2\\ *Element*: select\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-4-AI214: user interface control missing a programmatically determined name,high,*Component*: Offers bar\\ *Issue link*: [AI214|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI214]\\ *Description*: user interface control missing a programmatically determined name\\ *WCAG Success Criterion*: 4.1.2\\ *Element*: select\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI21: linked image with empty alternative text,high,*Component*: Footer\\ *Issue link*: [AI21|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI21]\\ *Description*: linked image with empty alternative text\\ *WCAG Success Criterion*: 1.1.1\\ *Element*: img\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI22: linked image with empty alternative text,high,*Component*: Footer\\ *Issue link*: [AI22|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI22]\\ *Description*: linked image with empty alternative text\\ *WCAG Success Criterion*: 1.1.1\\ *Element*: img\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI23: linked image with empty alternative text,high,*Component*: Footer\\ *Issue link*: [AI23|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI23]\\ *Description*: linked image with empty alternative text\\ *WCAG Success Criterion*: 1.1.1\\ *Element*: img\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI24: linked image with empty alternative text,high,*Component*: Footer\\ *Issue link*: [AI24|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI24]\\ *Description*: linked image with empty alternative text\\ *WCAG Success Criterion*: 1.1.1\\ *Element*: img\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI25: linked image with empty alternative text,high,*Component*: Footer\\ *Issue link*: [AI25|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI25]\\ *Description*: linked image with empty alternative text\\ *WCAG Success Criterion*: 1.1.1\\ *Element*: img\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI146: empty link with image is without text alternative,high,*Component*: Footer\\ *Issue link*: [AI146|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI146]\\ *Description*: empty link with image is without text alternative\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI147: empty link with image is without text alternative,high,*Component*: Footer\\ *Issue link*: [AI147|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI147]\\ *Description*: empty link with image is without text alternative\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI148: empty link with image is without text alternative,high,*Component*: Footer\\ *Issue link*: [AI148|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI148]\\ *Description*: empty link with image is without text alternative\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI149: empty link with image is without text alternative,high,*Component*: Footer\\ *Issue link*: [AI149|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI149]\\ *Description*: empty link with image is without text alternative\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI150: empty link with image is without text alternative,high,*Component*: Footer\\ *Issue link*: [AI150|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI150]\\ *Description*: empty link with image is without text alternative\\ *WCAG Success Criterion*: 2.4.4\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI215: name of link with image can not be programmatically determined,high,*Component*: Footer\\ *Issue link*: [AI215|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI215]\\ *Description*: name of link with image can not be programmatically determined\\ *WCAG Success Criterion*: 4.1.2\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI216: name of link with image can not be programmatically determined,high,*Component*: Footer\\ *Issue link*: [AI216|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI216]\\ *Description*: name of link with image can not be programmatically determined\\ *WCAG Success Criterion*: 4.1.2\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
Bug,A4046 - CE-5-AI217: name of link with image can not be programmatically determined,high,*Component*: Footer\\ *Issue link*: [AI217|http://aqa.usablenet.com/training-and-demo/roa/1642259846e_a92df74362b1807cbeeadc9ac5b9ee97/A4046/T10232/step1/details/view/AI217]\\ *Description*: name of link with image can not be programmatically determined\\ *WCAG Success Criterion*: 4.1.2\\ *Element*: a\\ *Severity*: high\\ *Complexity*: easy,Common Elements
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
